Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
International economics,Arthur Zillante,https://pages.charlotte.edu/connections/people/azillant/,Hwan-Chyang Lin,https://pages.charlotte.edu/connections/people/hwlin/,,
quality management,Afife Sireli,https://pages.charlotte.edu/connections/people/ysireli/,Sheng-Hsien Teng,https://pages.charlotte.edu/connections/people/sgteng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/
statistics,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/,Qingning Zhou,https://pages.charlotte.edu/connections/people/qzhou8/,Jun Song,https://pages.charlotte.edu/connections/people/jsong19/
service management,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,
service operations,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,
web,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
networks,Dewan Ahmed,https://pages.charlotte.edu/connections/people/dahmed/,Nicole Peterson,https://pages.charlotte.edu/connections/people/nicole-peterson/,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/
optimal software development methodologies,Monica Johar,https://pages.charlotte.edu/connections/people/msjohar/,,,,
planning and control,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,,,
auditing,,,,,,
web personalization,Monica Johar,https://pages.charlotte.edu/connections/people/msjohar/,,,,
network system performance evaluation,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
content delivery systems,Monica Johar,https://pages.charlotte.edu/connections/people/msjohar/,,,,
web application programming design,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
computer networking,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
business communication technologies,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
business presentations,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
business writing,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
corporate communication,Ashli Stokes,https://pages.charlotte.edu/connections/people/ashli-stokes/,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,
sustainability of food production,Matthew Metzgar,https://pages.charlotte.edu/connections/people/mmetzgar/,,,,
public finance,Matthew Metzgar,https://pages.charlotte.edu/connections/people/mmetzgar/,,,,
analysis of healthy diets,Matthew Metzgar,https://pages.charlotte.edu/connections/people/mmetzgar/,,,,
economics of obesity,Matthew Metzgar,https://pages.charlotte.edu/connections/people/mmetzgar/,,,,
health,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Jennifer Langhinrichsen-Rohling,https://pages.charlotte.edu/connections/people/jlanghin/,Jhordin James Montegrico,https://pages.charlotte.edu/connections/people/jmontegr/
corporate communication strategy,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
leadership development,Jeff Michael,https://pages.charlotte.edu/connections/people/jmichael/,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,
computer communication,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
forensic accounting,,,,,,
information management,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
network application programming design,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
empirical finance,Christopher Kirby,https://pages.charlotte.edu/connections/people/ckirby10/,,,,
pension accounting,,,,,,
management development,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
negotiation,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
cost of equity,,,,,,
network management,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
ecosystem services,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
portfolio management,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,,,
empirical asset pricing,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,,,
portfolio performance evaluation,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,,,
applied probability,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
derivatives,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
system design,,,,,,
system analysis,,,,,,
mathematical programming,,,,,,
process analysis,,,,,,
process design,,,,,,
synchronous manufacturing systems,,,,,,
derivatives markets,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
financial risk management,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Multinational management strategy,Tamara Cohen,https://pages.charlotte.edu/connections/people/tcohen3/,,,,
individual taxation,Hughlene Burton,https://pages.charlotte.edu/connections/people/haburton/,,,,
international taxation,Hughlene Burton,https://pages.charlotte.edu/connections/people/haburton/,,,,
partnership taxation,Hughlene Burton,https://pages.charlotte.edu/connections/people/haburton/,,,,
multinational entrepreneurship,Tamara Cohen,https://pages.charlotte.edu/connections/people/tcohen3/,,,,
stochastic modeling,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
mathematical finance,Adriana Ocejo Monge,https://pages.charlotte.edu/connections/people/adriana-ocejo-monge/,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,
random processes,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
securities markets,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
stochastic control,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
decision support systems,,,,,,
computer integrated manufacturing,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,,,
labor economics,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,,,
labor markets,Jill Yavorsky,https://pages.charlotte.edu/connections/people/jyavorsk/,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,
labor welfare,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,,,
technology adoption,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,,,
income distribution,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,,,
communication technology,Bianca Reisdorf,https://pages.charlotte.edu/connections/people/breisdor/,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,
economics of advertising,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
monetary policy,Rob McGregor,https://pages.charlotte.edu/connections/people/rrmcgreg/,,,,
local economic development,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
regional economic development,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
conflict resolution,,,,,,
intellectual capital,,,,,,
supply chain coordination,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
Economic impact analysis,John Connaughton,https://pages.charlotte.edu/connections/people/jec/,,,,
Regional economics,John Connaughton,https://pages.charlotte.edu/connections/people/jec/,,,,
Sports economics,John Connaughton,https://pages.charlotte.edu/connections/people/jec/,,,,
OM-marketing interface,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
sustainability reporting,,,,,,
management accounting,,,,,,
sustainability,Blaine Brownell,https://pages.charlotte.edu/connections/people/bbrowne3/,Liz McCormick,https://pages.charlotte.edu/connections/people/emccorm4/,Brook Muller,https://pages.charlotte.edu/connections/people/bmuller7/
sustainability costing,,,,,,
sustainability management,,,,,,
applied public choice,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
information systems management,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,,,
capabilities agility,,,,,,
competence,,,,,,
competitive advantage,,,,,,
corporate social responsibility,Ashli Stokes,https://pages.charlotte.edu/connections/people/ashli-stokes/,,,,
business ethics,,,,,,
business analytics,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,,,,
behavioral economics,Peter Schwarz,https://pages.charlotte.edu/connections/people/pschwarz/,,,,
big data analytics,Angelina Tzacheva,https://pages.charlotte.edu/connections/people/aatzache/,,,,
branding,Robin Rothberg,https://pages.charlotte.edu/connections/people/robin-rothberg/,,,,
data science,Douglas Hague,https://pages.charlotte.edu/connections/people/dhague/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/
data visualization,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Ming-Chun Lee,https://pages.charlotte.edu/connections/people/mlee137/,Aidong Lu,https://pages.charlotte.edu/connections/people/alu1/
mobile analytics,,,,,,
mobile strategy,,,,,,
retail marketing,,,,,,
retail merchandising,,,,,,
market strategy,,,,,,
innovation,,,,,,
digital strategy,,,,,,
firm strategy,,,,,,
image positioning,,,,,,
text mining,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
emotion management,Janaki Gooty,https://pages.charlotte.edu/connections/people/jgooty/,,,,
emotions,Janaki Gooty,https://pages.charlotte.edu/connections/people/jgooty/,Lisa Walker,https://pages.charlotte.edu/connections/people/lisa-walker/,,
leadership,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Rebecca Shore,https://pages.charlotte.edu/connections/people/rshore6/,Janaki Gooty,https://pages.charlotte.edu/connections/people/jgooty/
social media,Erika Montanaro,https://pages.charlotte.edu/connections/people/emontana/,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,Heather Freeman,https://pages.charlotte.edu/connections/people/hdfreema/
movie marketing,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
culture and consumers,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
customer relationship management,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
marketing analytics,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
insurance regulation,Faith Neale,https://pages.charlotte.edu/connections/people/frneale/,,,,
insurer solvency,Faith Neale,https://pages.charlotte.edu/connections/people/frneale/,,,,
enterprise business processes,,,,,,
information technologies,Bianca Reisdorf,https://pages.charlotte.edu/connections/people/breisdor/,,,,
management information systems,,,,,,
international finance,Lloyd Blenman,https://pages.charlotte.edu/connections/people/lblenman/,,,,
futures,Lloyd Blenman,https://pages.charlotte.edu/connections/people/lblenman/,,,,
medical malpractice,Faith Neale,https://pages.charlotte.edu/connections/people/frneale/,,,,
asset pricing models,Lloyd Blenman,https://pages.charlotte.edu/connections/people/lblenman/,,,,
continuous-time finance,Lloyd Blenman,https://pages.charlotte.edu/connections/people/lblenman/,,,,
storytelling,,,,,,
systematic creativity,,,,,,
job stress,,,,,,
personality differences in organizations,,,,,,
government debt,,,,,,
long-run economic growth,,,,,,
job burnout,,,,,,
fairness perceptions and fairness consequences,,,,,,
applied psychometrics,David Woehr,https://pages.charlotte.edu/connections/people/dwoehr/,,,,
managerial assessment,David Woehr,https://pages.charlotte.edu/connections/people/dwoehr/,,,,
performance measurement,David Woehr,https://pages.charlotte.edu/connections/people/dwoehr/,,,,
national saving,,,,,,
Tax economics,,,,,,
computational finance,Hwan-Chyang Lin,https://pages.charlotte.edu/connections/people/hwlin/,,,,
economic growth,Hwan-Chyang Lin,https://pages.charlotte.edu/connections/people/hwlin/,,,,
international trade,Hwan-Chyang Lin,https://pages.charlotte.edu/connections/people/hwlin/,,,,
Federal Open Market Committee,Rob McGregor,https://pages.charlotte.edu/connections/people/rrmcgreg/,,,,
computational economics,Hwan-Chyang Lin,https://pages.charlotte.edu/connections/people/hwlin/,,,,
quality improvement,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,,,
electronic commerce,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,,,
culture,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Erin Eldridge,https://pages.charlotte.edu/connections/people/eeldrid3/,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/
information systems economics,Kexin Zhao,https://pages.charlotte.edu/connections/people/kzhao2/,,,,
game theory in information management,Kexin Zhao,https://pages.charlotte.edu/connections/people/kzhao2/,,,,
spatial competition,,,,,,
accounting information systems,,,,,,
control,Lori Gossett,https://pages.charlotte.edu/connections/people/lori-gossett/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,,
planning,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,,,,
Microeconomics,,,,,,
Industrial organization,,,,,,
systematic innovation,,,,,,
technology lock-in,,,,,,
Economics of regulation,,,,,,
Consumer Behavior,,,,,,
Marketing Strategy,,,,,,
e-business standards,Kexin Zhao,https://pages.charlotte.edu/connections/people/kzhao2/,,,,
e-business standards adoption,Kexin Zhao,https://pages.charlotte.edu/connections/people/kzhao2/,,,,
e-business standards development,Kexin Zhao,https://pages.charlotte.edu/connections/people/kzhao2/,,,,
Social policy,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Jaclyn Piatak,https://pages.charlotte.edu/connections/people/jaclyn-piatak/,Arthur Zillante,https://pages.charlotte.edu/connections/people/azillant/
social issues,Marek Ranis,https://pages.charlotte.edu/connections/people/mpranis/,Arthur Zillante,https://pages.charlotte.edu/connections/people/azillant/,,
stereotyping,,,,,,
income inequality,Anne-Kathrin Kronberg,https://pages.charlotte.edu/connections/people/akronber/,Jill Yavorsky,https://pages.charlotte.edu/connections/people/jyavorsk/,Stephanie Moller,https://pages.charlotte.edu/connections/people/stephanie-moller/
poverty,Andrew Case,https://pages.charlotte.edu/connections/people/andrew-case/,Arthur Zillante,https://pages.charlotte.edu/connections/people/azillant/,,
Federal Reserve,Rob McGregor,https://pages.charlotte.edu/connections/people/rrmcgreg/,,,,
Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
art,Lydia Thompson,https://pages.charlotte.edu/connections/people/lthom115/,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Anna Kenar,https://pages.charlotte.edu/connections/people/akenar/
theatre,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Laura Waringer,https://pages.charlotte.edu/connections/people/lwaringe/
music,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Joe Skillen,https://pages.charlotte.edu/connections/people/jskillen/,Jonah Elrod,https://pages.charlotte.edu/connections/people/jelrod6-2/
Architecture,David Costanza,https://pages.charlotte.edu/connections/people/dcostan2/,Blaine Brownell,https://pages.charlotte.edu/connections/people/bbrowne3/,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/
performing arts,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Joe Skillen,https://pages.charlotte.edu/connections/people/jskillen/,Jonah Elrod,https://pages.charlotte.edu/connections/people/jelrod6-2/
arts and community,Joe Skillen,https://pages.charlotte.edu/connections/people/jskillen/,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Lydia Thompson,https://pages.charlotte.edu/connections/people/lthom115/
dance,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Audrey Baran,https://pages.charlotte.edu/connections/people/alipapo/,Kaustavi Sarkar,https://pages.charlotte.edu/connections/people/ksarkar/
production,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/,Allison Amidei,https://pages.charlotte.edu/connections/people/aamidei/
voice,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/
dance history,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,Ann Dils,https://pages.charlotte.edu/connections/people/adils/,Kim Jones,https://pages.charlotte.edu/connections/people/kjones39/
culture,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Erin Eldridge,https://pages.charlotte.edu/connections/people/eeldrid3/,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/
contemporary opera,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/,Brian Arreola,https://pages.charlotte.edu/connections/people/barreola/
gender,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Jennifer Langhinrichsen-Rohling,https://pages.charlotte.edu/connections/people/jlanghin/
musical theatre,Laura Waringer,https://pages.charlotte.edu/connections/people/lwaringe/,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/
opera,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/,Brian Arreola,https://pages.charlotte.edu/connections/people/barreola/
environment,Jonah Elrod,https://pages.charlotte.edu/connections/people/jelrod6-2/,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/,Liz McCormick,https://pages.charlotte.edu/connections/people/emccorm4/
dramaturgy,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,Allison Amidei,https://pages.charlotte.edu/connections/people/aamidei/,Andrew Hartley,https://pages.charlotte.edu/connections/people/ajhartle/
singing,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/,Brian Arreola,https://pages.charlotte.edu/connections/people/barreola/,,
scenic design,Bruce Auerbach,https://pages.charlotte.edu/connections/people/bcauerba/,Tom Burch,https://pages.charlotte.edu/connections/people/tburch8/,,
graphic design,Cynthia Frank,https://pages.charlotte.edu/connections/people/cfrank18/,Robert Campbell,https://pages.charlotte.edu/connections/people/rcampb44/,Eldred Hudson,https://pages.charlotte.edu/connections/people/ephudson/
playwriting,,,,,,
illustration,Robert Campbell,https://pages.charlotte.edu/connections/people/rcampb44/,Jamie Franki,https://pages.charlotte.edu/connections/people/jsfranki/,Eldred Hudson,https://pages.charlotte.edu/connections/people/ephudson/
jazz,Audrey Baran,https://pages.charlotte.edu/connections/people/alipapo/,Kelsey Klotz,https://pages.charlotte.edu/connections/people/kklotz1/,Shayna Stahl,https://pages.charlotte.edu/connections/people/sstahl8/
choreography,Kaustavi Sarkar,https://pages.charlotte.edu/connections/people/ksarkar/,Marissa Nesbit,https://pages.charlotte.edu/connections/people/mnesbit4/,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/
design,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/,Lidia Klein,https://pages.charlotte.edu/connections/people/lklein7/,Cynthia Frank,https://pages.charlotte.edu/connections/people/cfrank18/
body and embodiment,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/,Gretchen Alterowitz,https://pages.charlotte.edu/connections/people/galterow/,,
environmental design,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,Kelly Carlson-Reddig,https://pages.charlotte.edu/connections/people/kcarlson/,Jose Gamez,https://pages.charlotte.edu/connections/people/jlgamez/
improvisation,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/,,
drawing,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Kristin Rothrock,https://pages.charlotte.edu/connections/people/krothroc/,Malena Bergmann,https://pages.charlotte.edu/connections/people/mnbergma/
3d,,,,,,
painting,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Andrew Leventis,https://pages.charlotte.edu/connections/people/aleventi/,Deborah Wall,https://pages.charlotte.edu/connections/people/dwall/
art pedagogy,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,
art history,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Anna Kenar,https://pages.charlotte.edu/connections/people/akenar/,Cynthia Frank,https://pages.charlotte.edu/connections/people/cfrank18/
immigration,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Colleen Hammelman,https://pages.charlotte.edu/connections/people/chammelm/,Dale Smith,https://pages.charlotte.edu/connections/people/dale-smith/
Asian-American music,,,,,,
vernacular dance,Ann Dils,https://pages.charlotte.edu/connections/people/adils/,,,,
1930s,Ann Dils,https://pages.charlotte.edu/connections/people/adils/,,,,
big band,,,,,,
feminist theory,Ann Dils,https://pages.charlotte.edu/connections/people/adils/,Robin James,https://pages.charlotte.edu/connections/people/robin-james/,Elizabeth Gargano,https://pages.charlotte.edu/connections/people/elizabeth-gargano/
thermal comfort,Mona Azarbayjani,https://pages.charlotte.edu/connections/people/mazarbay/,,,,
dance research methods,Ann Dils,https://pages.charlotte.edu/connections/people/adils/,,,,
architectural diagram,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,,,,
Auschwitz,,,,,,
movement analysis,Ann Dils,https://pages.charlotte.edu/connections/people/adils/,,,,
study abroad,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,,,,
design education,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,John Gero,https://pages.charlotte.edu/connections/people/jgero1/,,
history,Mark Pizzato,https://pages.charlotte.edu/connections/people/mpizzato/,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,Julia Robinson,https://pages.charlotte.edu/connections/people/julia-robinson/
writing for architects,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,,,,
mid-century design,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,,,,
somatics,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/,,,,
somatic practices,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/,,,,
somatic movement,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/,,,,
modern dance,David Fillmore,https://pages.charlotte.edu/connections/people/dmfillmo/,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/,Karen Hubbard,https://pages.charlotte.edu/connections/people/kwhubbar/
postwar cultural history,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,,,,
contact improvisation,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/,,,,
roman architecture,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,Jim Frakes,https://pages.charlotte.edu/connections/people/jffrakes/,,
Rome,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,Jim Frakes,https://pages.charlotte.edu/connections/people/jffrakes/,,
saxophone,Jessica Lindsey,https://pages.charlotte.edu/connections/people/jlinds32/,Will Campbell,https://pages.charlotte.edu/connections/people/wlcampbe/,,
anatomy,E.E. Balcos,https://pages.charlotte.edu/connections/people/eebalcos/,,,,
Zapruder,,,,,,
history of architecture,Jeff Balmer,https://pages.charlotte.edu/connections/people/jdbalmer/,,,,
collaborative practices,Gretchen Alterowitz,https://pages.charlotte.edu/connections/people/galterow/,,,,
composition,Jonah Elrod,https://pages.charlotte.edu/connections/people/jelrod6-2/,Rick Dior,https://pages.charlotte.edu/connections/people/rmdior/,Cathy Mahaffey,https://pages.charlotte.edu/connections/people/cathy-mahaffey/
textile design,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
contemplative practices,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
expressive arts,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
k-12,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
k-12 art,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
social-emotional learning,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
studio art,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,Jamie Franki,https://pages.charlotte.edu/connections/people/jsfranki/,Heather Freeman,https://pages.charlotte.edu/connections/people/hdfreema/
weaving,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
art education,,,,,,
ceramics,Lydia Thompson,https://pages.charlotte.edu/connections/people/lthom115/,Thomas Schmidt,https://pages.charlotte.edu/connections/people/tschmi13/,Janet Williams,https://pages.charlotte.edu/connections/people/jwill416/
metal,Jamie Franki,https://pages.charlotte.edu/connections/people/jsfranki/,Keith Bryant,https://pages.charlotte.edu/connections/people/kbryant/,,
sculpture,Thomas Schmidt,https://pages.charlotte.edu/connections/people/tschmi13/,Janet Williams,https://pages.charlotte.edu/connections/people/jwill416/,Marek Ranis,https://pages.charlotte.edu/connections/people/mpranis/
wood,Keith Bryant,https://pages.charlotte.edu/connections/people/kbryant/,,,,
2d,,,,,,
4d,,,,,,
found objects,Malena Bergmann,https://pages.charlotte.edu/connections/people/mnbergma/,,,,
art in the classroom,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
typography,Robert Campbell,https://pages.charlotte.edu/connections/people/rcampb44/,,,,
orchestra,Eric Millard,https://pages.charlotte.edu/connections/people/emillard/,Jeremy Marks,https://pages.charlotte.edu/connections/people/jmarks21/,Elizabeth Sullivan,https://pages.charlotte.edu/connections/people/esulli12/
english,Dean Adams,https://pages.charlotte.edu/connections/people/ladams45/,,,,
percussion,Rick Dior,https://pages.charlotte.edu/connections/people/rmdior/,,,,
